club	source
1.FC Heidenheim 1846	df_matchs
1.FC Köln	df_matchs
1.FC Union Berlin	df_matchs
1.FSV Mainz 05	df_matchs
AC Ajaccio	df_matchs
AC Milan	df_matchs
AC Monza	df_matchs
ACF Fiorentina	df_matchs
AFC Bournemouth	df_matchs
AJ Auxerre	df_matchs
AS Monaco	df_matchs
AS Roma	df_matchs
AS Saint-Étienne	df_matchs
Angers SCO	df_matchs
Arminia Bielefeld	df_matchs
Arsenal FC	df_matchs
Aston Villa	df_matchs
Atalanta BC	df_matchs
Athletic Bilbao	df_matchs
Atlético de Madrid	df_matchs
Bayer 04 Leverkusen	df_matchs
Bayern Munich	df_matchs
Borussia Dortmund	df_matchs
Borussia Mönchengladbach	df_matchs
Brighton & Hove Albion	df_matchs
Burnley FC	df_matchs
CA Osasuna	df_matchs
CD Leganés	df_tables
Cagliari Calcio	df_matchs
Celta Vigo	df_matchs
Chelsea FC	df_matchs
Clermont Foot 63	df_matchs
Como 1907	df_tables
Crystal Palace	df_matchs
Cádiz CF	df_matchs
Deportivo Alavés	df_matchs
ESTAC Troyes	df_matchs
Eintracht Francfort	df_matchs
Elche CF	df_matchs
Espanyol Barcelona	df_matchs
FC Augsburg	df_matchs
FC Barcelone	df_matchs
FC Bologna	df_matchs
FC Brentford	df_matchs
FC Empoli	df_matchs
FC Everton	df_matchs
FC Fulham	df_matchs
FC Getafe	df_matchs
FC Girondins de Bordeaux	df_matchs
FC Granada	df_matchs
FC Liverpool	df_matchs
FC Lorient	df_matchs
FC Metz	df_matchs
FC Nantes	df_matchs
FC Schalke 04	df_matchs
FC Southampton	df_matchs
FC St. Pauli	df_tables
FC Valencia	df_matchs
FC Watford	df_matchs
Frosinone Calcio	df_matchs
Genoa CFC	df_matchs
Girona FC	df_matchs
Hellas Verona	df_matchs
Hertha BSC	df_matchs
Holstein Kiel	df_tables
Inter Milan	df_matchs
Ipswich Town	df_tables
Juventus Turin	df_matchs
LOSC Lille	df_matchs
Lazio Rome	df_matchs
Le Havre AC	df_matchs
Leeds United	df_matchs
Leicester City	df_matchs
Luton Town	df_matchs
Manchester City	df_matchs
Manchester United	df_matchs
Montpellier Hérault SC	df_matchs
Newcastle United	df_matchs
Norwich City	df_matchs
Nottingham Forest	df_matchs
OGC Nice	df_matchs
Olympique Lyonnais	df_matchs
Olympique de Marseille	df_matchs
Paris Saint-Germain	df_matchs
Parma Calcio 1913	df_tables
RB Leipzig	df_matchs
RC Lens	df_matchs
RC Strasbourg Alsace	df_matchs
RCD Mallorca	df_matchs
Rayo Vallecano	df_matchs
Real Betis Balompié	df_matchs
Real Madrid	df_matchs
Real Sociedad	df_matchs
Real Valladolid	df_matchs
SC Fribourg	df_matchs
SSC Napoli	df_matchs
SV Darmstadt 98	df_matchs
SV Werder Bremen	df_matchs
Sheffield United	df_matchs
SpVgg Greuther Fürth	df_matchs
Spezia Calcio	df_matchs
Stade Brestois 29	df_matchs
Stade Rennais FC	df_matchs
Stade de Reims	df_matchs
Séville FC	df_matchs
TSG 1899 Hoffenheim	df_matchs
Torino FC	df_matchs
Tottenham Hotspur	df_matchs
Toulouse FC	df_matchs
UC Sampdoria	df_matchs
UD Almería	df_matchs
UD Las Palmas	df_matchs
UD Levante	df_matchs
US Cremonese	df_matchs
US Lecce	df_matchs
US Salernitana 1919	df_matchs
US Sassuolo	df_matchs
Udinese Calcio	df_matchs
Venezia FC	df_matchs
VfB Stuttgart	df_matchs
VfL Bochum	df_matchs
VfL Wolfsburg	df_matchs
Villarreal CF	df_matchs
West Ham United	df_matchs
Wolverhampton Wanderers	df_matchs
